ID,Name,CAS,Formula,Ion Species,Mass (DB),CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,POS QCdilution 0 0625 DI2.d.HRdm, POS QCdilution 0 125 DI2.d.HRdm, POS QCdilution 0 25 DI2.d.HRdm, POS QCdilution 0 5 DI2.d.HRdm, POS QCdilution 1 0 DI2.d.HRdm, POS S1P DI2.d.HRdm, POS S1S DI2.d.HRdm, POS S2P DI2.d.HRdm, POS S2S DI2.d.HRdm, POS S3P DI2.d.HRdm, POS S3S DI2.d.HRdm, POS W1P DI2.d.HRdm, POS W1S DI2.d.HRdm, POS W2P DI2.d.HRdm, POS W2S DI2.d.HRdm, POS W3P DI2.d.HRdm, POS W3S DI2.d.HRdm
35,,,,,,,0.222,0.003,47.108,0.121,280.67,0.73,663.4564,0.0007,0.0376749,0.75,1,5,15,100,x,FALSE,1.28E+07,1.21E+07,1.01E+07,1.17E+07,6772200,1.85E+07,0.001,1.82E+07,1391274,1.71E+07,8988475,2.01E+07,0.001,1.87E+07,1.00E+07,1.77E+07,2190926
36,,,,,,,0.243,0.004,35.881,0.257,216.7,1.56,376.2609,0.0007,0.0364293,1.47,1,4,6,98.3,x,FALSE,0.001,1.53E+07,2.89E+07,0.001,3.38E+07,0.001,5.71E+07,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7.97E+07,0.001,4.47E+07
37,Saxagliptin,361442-04-8,C18 H25 N3 O2,(M+Na)+,315.1947,,2.619,0.042,29.289,0.069,177.3,0.42,338.1835,0.0007,0.0363714,2.48,1,3,8,97.9,x,FALSE,5.90E+07,1.29E+07,1.17E+07,0.001,0.001,0.001,0.001,1296720,2.95E+07,0.001,1.07E+07,5722431,0.001,0.001,0.001,0.001,1.30E+07
38,,,,,,,2.509,0.003,35.047,0.033,210.24,0.2,464.2494,0.0007,0.0359522,0.75,1,4,16,100,x,FALSE,1048822,1859655,4028806,1.19E+07,4.24E+07,1.11E+07,2.34E+07,1.21E+07,0.001,1.06E+07,3.88E+07,2011036,4.42E+07,6482956,1.27E+07,8550122,4.25E+07
39,Soyasapogenol B 3-O-D-glucuronide,,C36 H58 O9,(M+Na)+,634.4081,,1.854,0.005,41.259,0.032,245.69,0.19,657.3988,0.0004,0.0351753,0.48,1,4,17,100,x,FALSE,507842.9,1602003,3912770,1.07E+07,2.58E+07,1.10E+07,2.20E+07,1.53E+07,2.75E+07,1.11E+07,2.87E+07,5076784,2.85E+07,6560161,2.19E+07,8940510,3.35E+07
40,,,,,,,2.625,0.013,41.391,0.129,246.37,0.77,672.3852,0.0011,0.0348926,0.87,1,3,14,99.4,,FALSE,2009533,0.001,0.001,7743437,8724248,1.35E+07,1.57E+07,1.31E+07,1.83E+07,6052999,5.04E+07,1.45E+07,1.70E+07,3.08E+07,0.001,1.66E+07,1.92E+07
41,,,,,,,2.764,0.014,38.136,0.037,227.65,0.22,573.3145,0.0015,0.0348518,0.63,1,2,15,100,,FALSE,0.001,0.001,3455927,6434957,1.49E+07,1.35E+07,2.32E+07,2.13E+07,1.71E+07,9615157,3.45E+07,2.03E+07,1.58E+07,1.65E+07,6737412,8536502,2.97E+07
42,PC-M6,133613-76-0,C27 H35 N O3,(M+NH4)+,421.2617,,1.699,0.04,34.3,0.027,206.05,0.16,439.2925,0.0004,0.0344825,0.72,1,4,15,100,x,FALSE,0.001,0.001,3901735,7622229,3.45E+07,7451655,1.81E+07,1.14E+07,3.25E+07,8246253,3.54E+07,4375628,4.02E+07,6243167,1.68E+07,5292925,4.17E+07
43,,,,,,,2.518,0.002,41.57,0.051,247.58,0.31,652.4049,0.0009,0.0323267,0.45,1,4,17,100,x,FALSE,954803.1,1752366,3514356,8202799,2.03E+07,1.44E+07,1.93E+07,1.28E+07,2.86E+07,9717792,2.29E+07,5161023,2.81E+07,7106370,1.77E+07,8477745,2.87E+07
44,Pilocarpidine,127-67-3,C10 H14 N2 O2,(M+H)+,194.1055,,1.951,0.002,22.666,0.023,140.65,0.14,195.1133,0.0002,0.0316947,0.2,1,4,17,100,x,FALSE,2011148,3948057,7155234,1.12E+07,1.67E+07,1.20E+07,1.72E+07,1.34E+07,1.98E+07,1.05E+07,1.79E+07,7760273,1.96E+07,8246447,1.82E+07,9899619,1.98E+07
