ID,Name,CAS,Formula,Ion Species,Mass (DB),CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,POS QCdilution 0 0625 DI2.d.HRdm, POS QCdilution 0 125 DI2.d.HRdm, POS QCdilution 0 25 DI2.d.HRdm, POS QCdilution 0 5 DI2.d.HRdm, POS QCdilution 1 0 DI2.d.HRdm, POS S1P DI2.d.HRdm, POS S1S DI2.d.HRdm, POS S2P DI2.d.HRdm, POS S2S DI2.d.HRdm, POS S3P DI2.d.HRdm, POS S3S DI2.d.HRdm, POS W1P DI2.d.HRdm, POS W1S DI2.d.HRdm, POS W2P DI2.d.HRdm, POS W2S DI2.d.HRdm, POS W3P DI2.d.HRdm, POS W3S DI2.d.HRdm
3082,Fumitremorgin C,118974-02-0,C22 H25 N3 O3,(M+H)+,379.1896,,1.959,0.004,30.817,0.041,185.83,0.25,380.1944,0.0014,0.0000657,2.24,1,2,3,91.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,169313.9,0.001,220274.5,0.001,0.001,0.001,0.001,0.001,172635.5,0.001,0.001
3083,"TG(18:1(11Z)/16:0/20:4(5Z,8Z,11Z,14Z))[iso6]",,C57 H100 O6,(M+NH4)+,880.752,,0.219,,54.115,,320.93,,898.789,,0.0000657,4.12,1,2,1,92,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,532627.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3084,,,,,,,0.247,,36.588,,218,,615.4656,,0.0000656,4.12,1,2,1,94,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,335516.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3085,Pimozide,2062-78-4,C28 H29 F2 N3 O,(M+Na)+,461.2279,,2.435,0.003,35.301,0.137,211.52,0.82,484.2174,0.0005,0.0000655,2.4,1,2,3,99,,FALSE,0.001,0.001,0.001,109065.1,0.001,0.001,0.001,0.001,0.001,0.001,293126.3,0.001,0.001,0.001,0.001,0.001,151366.2
3086,,,,,,,2.395,0.004,57.17,0.094,337.8,0.56,1213.6646,0.0023,0.0000655,1.27,1,3,7,100,,FALSE,0.001,0.001,0.001,0.001,99077.28,42810.46,52916.48,0.001,76272.7,0.001,85458.49,0.001,0.001,0.001,81928.02,0.001,112789.1
3087,,,,,,,2.75,0.005,34.021,0.276,201.96,1.65,720.3763,0.0015,0.0000654,2.55,1,2,3,99.7,,FALSE,0.001,0.001,0.001,0.001,0.001,135287.9,0.001,0.001,0.001,173183,0.001,0.001,0.001,0.001,0.001,35752.22,0.001
3088,Metalaxyl-M,70630-17-0,C15 H21 N O4,(M+Na)+,279.1471,,1.396,,27.132,,164.88,,302.1364,,0.0000652,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,659116.1,0.001,0.001,0.001,0.001
3089,Pectenotoxin 3,97560-25-3,C47 H68 O15,(M+Na)+,872.4558,,2.744,,47.515,,281.62,,895.4424,,0.0000652,4.12,1,2,1,81.2,,FALSE,0.001,191090.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3090,"(3b,5a,25R)-3-Hydroxyspirostan-6-one 3-[2-acetylarabinosyl-(1-6)-glucoside]",,C40 H62 O14,(M+Na)+,766.414,,0.424,0.002,46.884,0.113,278.42,0.67,789.404,0.0014,0.000065,1.58,1,3,7,97.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,31884.08,48036.63,101680.3,0.001,31570.13,0.001,102822,0.001,54768.42,0.001,212733.6
3091,,,,,,,2.119,0.001,44.146,0.015,262.11,0.09,784.3378,0.002,0.000065,2.9,1,2,2,86.7,,FALSE,0.001,0.001,0.001,0.001,0.001,219550,0.001,0.001,0.001,0.001,0.001,0.001,0.001,124567.4,0.001,0.001,0.001
3092,Septentriodine,69787-05-9,C37 H52 N2 O11,(M+H)+,700.3571,,1.856,0.005,33.221,0.221,197.28,1.32,701.364,0.0008,0.0000646,1.16,1,3,8,100,,FALSE,0.001,0.001,26864.13,0.001,0.001,0.001,0.001,0.001,86453.63,0.001,72256.55,0.001,53598.92,41981.68,62149.55,35251.44,123890.7
3093,Pterostilbene,537-42-8,C16 H16 O3,(M+Na)+,256.1099,,0.328,,26.654,,162.51,,279.0993,,0.0000646,4.12,1,3,1,94.7,,FALSE,172613.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3094,,,,,,,0.224,0.001,39.767,0.044,236.57,0.26,681.8505,0.0009,0.0000645,2.29,1,2,3,84.5,,FALSE,0.001,0.001,0.001,0.001,0.001,100233.7,0.001,0.001,0.001,95301.72,0.001,133247.4,0.001,0.001,0.001,0.001,0.001
3095,"13Z,16Z-docosadienoic acid",,C22 H40 O2,(M+NH4)+,336.3028,,0.239,,32.956,,199.34,,354.3381,,0.0000645,4.12,1,2,1,98.3,,FALSE,172479.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3096,"MG(0:0/22:2(13Z,16Z)/0:0)",,C25 H46 O4,(M+NH4)+,410.3396,,0.617,0.002,35.745,0.02,214.96,0.12,428.3758,0.001,0.0000644,2.23,1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,192795.1,0.001,0.001,0.001,176307.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,202140.5
3097,Propafenone,54063-53-5,C21 H27 N O3,(M+Na)+,341.1991,,0.651,0.002,29.966,0.086,180.93,0.53,364.1855,0.0004,0.0000644,1.3,1,2,7,99.4,,FALSE,0.001,0.001,0.001,0.001,100587.3,0.001,0.001,60439.62,89223.12,41497.5,65480.94,23610.24,0.001,0.001,0.001,0.001,111804.8
3098,Tegafur,17902-23-7,C8 H9 F N2 O3,(M+H)+,200.0597,,1.392,0.077,22.594,0.081,139.94,0.51,201.0664,0.0003,0.0000643,3.54,1,2,3,100,,FALSE,147826.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,60145.53,0.001,21314.08
3099,,,,,,,2.378,0.002,34.135,0.094,202.47,0.56,755.9088,0.0009,0.0000642,1.55,1,2,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,54778.25,101232.7,0.001,0.001,0.001,112322.5,0.001,175451.3,0.001,0.001,19805.93,78087.4
3100,,,,,,,1.47,,51.312,,303.72,,1010.4895,,0.0000641,4.12,1,3,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,306437.4,0.001,0.001,0.001,0.001,0.001
3101,,,,,,,0.432,0.004,41.339,0.058,246.12,0.35,663.2896,0.0017,0.000064,1.76,1,3,5,88.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,136797.9,101291.3,70437.19,27246.05,0.001,0.001,0.001,0.001,0.001,0.001,167539
3102,Benalaxyl,71626-11-4,C20 H23 N O3,(M+H)+,325.1678,,2.446,0.002,29.096,0.014,176.37,0.09,326.1723,0.0002,0.000064,2.85,1,2,2,86.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,365180.3,0.001,0.001,0.001,276232.5
3103,Isoguanosine,1818-71-9,C10 H13 N5 O5,(M+Na)+,283.0917,,1.288,0,29.255,0.016,177.8,0.1,306.082,0,0.0000638,2.83,1,2,2,100,,FALSE,0.001,0.001,151943.1,0.001,0.001,0.001,0.001,0.001,0.001,153357.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3104,,,,,,,0.3,0.061,43.8,0.023,261.38,0.14,603.5372,0.0004,0.0000638,2.24,1,3,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,115807.9,154805.9,143668,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3105,Septentriodine,69787-05-9,C37 H52 N2 O11,(M+H)+,700.3571,,1.857,0.006,41.857,0.188,248.95,1.12,701.364,0.0007,0.0000638,1.33,1,3,7,100,,FALSE,0.001,0.001,26613.91,0.001,0.001,0.001,86573.36,56219.07,86476.4,0.001,0.001,0.001,0.001,61602.42,0.001,55610.73,39661.23
3106,Hydroxystenozole,5697-57-4,C21 H30 N2 O,(M+Na)+,326.2358,,1.365,0.003,30.327,0.044,183.41,0.27,349.2222,0.0003,0.0000637,1.92,1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,146296,0.001,100340.5,0.001,0.001,0.001,113335.9,0.001,0.001,0.001,0.001,0.001,203855.2
3107,,,,,,,0.253,,39.613,,235.51,,703.5077,,0.0000637,4.12,1,2,1,87.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,325470.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3108,Tyrosyl-Valine,,C14 H20 N2 O4,(M+NH4)+,280.1423,,1.354,0.004,27.942,0.034,169.94,0.21,298.1771,0.0007,0.0000634,1.86,1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,127268.3,0.001,0.001,88038.49,0.001,0.001,138805.3,0.001,0.001,0.001,154235.2,0.001,0.001
3109,Kiwiionoside,141897-12-3,C19 H34 O9,(M+H)+,406.2203,,1.846,0.002,31.948,0.035,192.28,0.21,407.2278,0.0012,0.0000634,2.88,1,4,2,84.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,222213.7,0.001,337451.4,0.001,0.001,0.001,0.001,0.001,0.001
3110,Cadabicine methyl ether,,C26 H31 N3 O4,(M+H)+,449.2315,,2.642,0.005,27.58,0.167,165.27,1.01,450.2401,0.0024,0.0000633,2.83,1,2,2,97.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,152781.9,0.001,0.001,0.001,0.001,294574.8,0.001,0.001
3111,"1,2-Dipentadecanoyl-sn-glycero-3-phosphoethanolamine",109032-52-2,C35 H70 N O8 P,(M+H)+,663.4839,,0.895,0.008,47.371,0.087,282.24,0.52,664.4936,0.0008,0.0000633,2.27,1,2,3,100,,FALSE,0.001,59209.5,0.001,0.001,135893.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,128406.2,0.001,0.001,0.001
3112,Leu-leu-tyr,20368-24-5,C21 H33 N3 O5,(M+H)+,407.242,,1.732,0.048,32.725,0.235,196.97,1.42,408.25,0.0019,0.0000631,1.66,1,2,6,82.1,,FALSE,0.001,0.001,0.001,11009.18,56769.21,44206.64,138796.9,0.001,0.001,0.001,0.001,0.001,164764.1,0.001,0.001,0.001,129068.9
3113,Taraxacolide 1-O-b-D-glucopyranoside,75911-12-5,C21 H32 O9,(M+NH4)+,428.2046,,1.394,0.003,33.983,0.099,204.04,0.6,446.2394,0.0005,0.000063,2.25,1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,180488.8,0.001,0.001,0.001,203204.9,0.001,155077.8,0.001,0.001,0.001,0.001,0.001,0.001
3114,,,,,,,2.039,0.005,30.207,0.043,182.7,0.26,348.1907,0.0016,0.0000629,2.29,1,2,3,93.8,,FALSE,0.001,0.001,0.001,0.001,167213.4,87362.46,215569.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3115,Cortancyl,125-10-0,C23 H28 O6,(M+NH4)+,400.1886,,2.292,,32.124,,193.17,,418.2198,,0.0000629,4.12,1,2,1,96.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,378338.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3116,Vat Yellow 4,128-66-5,C24 H12 O2,(M+H)+,332.0837,,0.751,0.003,28.64,0.123,173.44,0.75,333.0907,0.0008,0.0000629,2.43,1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,175270.6,184820.3,0.001,0.001,0.001,0.001,106174.1,0.001,0.001,0.001,0.001
3117,"(12S,15S)-15-O-Demethyl-10,29-dideoxy-11,12-dihydro-striatin C",,C25 H38 O6,(M+H)+,434.2668,,2.813,0.091,34.219,0.27,205.62,1.63,435.2707,0.0012,0.0000628,2.86,1,2,3,88.5,,FALSE,0.001,0.001,0.001,0.001,62608.1,236304.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,61634.33,0.001,0.001,0.001
3118,,,,,,,0.226,0,39.077,0.078,232.55,0.47,666.4732,0.0006,0.0000628,2.89,1,2,2,97.6,,FALSE,0.001,0.001,0.001,0.001,0.001,139307.4,0.001,0.001,0.001,193010.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3119,,,,,,,2.78,,56.375,,333.32,,1140.5798,,0.0000627,4.12,1,3,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,507975.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3120,,,,,,,2.433,0.007,33.524,0.166,201.96,1.01,399.2366,0.0009,0.0000626,1.21,1,2,8,100,,FALSE,0.001,0.001,0.001,0.001,44407.36,0.001,62510.29,76030.83,59317.01,0.001,0.001,0.001,0.001,46432.56,94357.05,23174.83,50431.11
3121,"1,8-Diazacyclotetradecane-2,9-dione",,C12 H22 N2 O2,(M+H)+,226.1681,,1.592,0.004,30.431,0.036,187.68,0.22,227.1766,0.0003,0.0000626,2.24,1,2,3,82.4,,FALSE,0.001,0.001,0.001,0.001,146588.1,0.001,183795.5,131632.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3122,,,,,,,2.411,0.003,37.255,0.137,220.63,0.82,860.4321,0.0008,0.0000626,1.57,1,2,6,93.7,,FALSE,0.001,0.001,0.001,0.001,134814,54662.46,0.001,0.001,120160.7,0.001,108330.9,0.001,59284.91,0.001,38027.34,0.001,0.001
3123,Topotecan,123948-87-8,C23 H23 N3 O5,(M+H)+,421.1638,,0.429,0,32.737,0.175,196.83,1.06,422.1712,0.0003,0.0000626,1.68,1,2,5,91.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,68025.14,87063.38,0.001,165894.6,0.001,91931.02,0.001,0.001,0.001,134025.9
3124,Physagulin C,136997-67-6,C30 H38 O9,(M+H)+,542.2516,,1.595,0.002,41.589,0.089,248.72,0.54,543.2595,0.001,0.0000625,1.88,1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,170817.9,0.001,125841.9,0.001,141078.3,0.001,0.001,0.001,147008.5
3125,,,,,,,0.228,0.002,49.525,0.112,294.35,0.67,765.5476,0.0009,0.0000625,2.25,1,2,3,99.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,119874.1,0.001,92492.52,0.001,91125.03,0.001
3126,"(alphaS,betaS)-alpha-Ethyl-alpha-(4-methoxyphenyl)-beta-phenyl-2-pyridineethanol",,C22 H23 N O2,(M+H)+,333.1729,,1.474,0.008,29.746,0.11,180.17,0.67,334.1807,0.001,0.0000624,2.23,1,2,3,98.3,,FALSE,0.001,0.001,0.001,0.001,151819,118324.4,0.001,135184.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3127,,,,,,,0.233,0.002,35.847,0.018,215.99,0.11,403.3805,0.0025,0.0000624,2.82,1,2,2,94.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,188271.5,0.001,159248.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3128,"3'-Methoxy-[6]-Gingerdiol 3,5-diacetate",143519-18-0,C22 H34 O6,(M+H)+,394.2355,,0.256,0.003,32.234,0.193,194.19,1.17,395.2448,0.0024,0.0000624,2.72,1,2,3,82.4,,FALSE,9667.508,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,117748.1,0.001,0.001,0.001,0.001,0.001,176261.4,0.001
3129,,,,,,,0.244,,34.926,,208.38,,571.4391,,0.0000623,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,318741.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3130,,,,,,,0.214,,47.369,,280.62,,924.2903,,0.0000623,4.12,1,2,1,83.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,505172.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3131,10-Eicosene,66587-45-9,C20 H40,(M+NH4)+,280.313,,0.385,,32.562,,198.29,,298.3479,,0.0000623,4.12,1,2,1,95.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,505066.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3132,Isococculidine,60229-91-6,C18 H23 N O2,(M+Na)+,285.1729,,2.331,0.002,28.77,0.063,174.78,0.38,308.1594,0.0002,0.0000622,3.78,1,2,2,95.4,,FALSE,0.001,0.001,0.001,0.001,0.001,28214.76,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,503526.9,0.001,0.001
3133,,,,,,,0.249,0.002,41.826,0.148,250,0.89,556.4436,0.0008,0.0000621,1.71,1,2,6,100,,FALSE,0.001,0.001,0.001,33929.33,53311.28,0.001,67512.03,47007.42,0.001,56315.63,0.001,0.001,0.001,0.001,0.001,113545.2,0.001
3134,Camptothecin,04/03/7689,C20 H16 N2 O4,(M+Na)+,348.111,,0.227,0.003,31.043,0.243,187.37,1.48,371.1026,0.0003,0.0000621,1.8,1,3,5,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,129848.9,0.001,0.001,67736.24,55944.1,0.001,0.001,0.001,71114.91,67166.53
3135,,,,,,,0.237,,38.101,,228.39,,486.296,,0.0000621,4.12,1,2,1,99.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,317314.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3136,,,,,,,1.253,0.093,24.041,0.035,148.33,0.22,217.1097,0.0016,0.000062,2.05,1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,51746.91,0.001,58880.8,0.001,0.001,0.001,0.001,246559,0.001,0.001,0.001,183804.8
3137,Cysteinyl-Tyrosine,,C12 H16 N2 O4 S,(M+H)+,284.0831,,2.776,0,27.749,0.027,169.09,0.17,285.0897,0.001,0.000062,2.84,1,2,2,85.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,247513.4,0.001,0.001,0.001,0.001,0.001,339037.5
3138,Amino acid(Arg-),,C6 H14 N4 O2,(M+H)+,174.1117,,2.899,,41.111,,258.2,,175.12,,0.000062,4.12,1,2,1,84.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,614102.9
3139,Cilazprilat,90139-06-3,C20 H27 N3 O5,(M+H)+,389.1951,,0.889,0.007,32.096,0.072,193.44,0.43,390.2038,0.001,0.000062,2.01,1,2,4,98.7,,FALSE,0.001,0.001,0.001,0.001,157942.2,95493.65,0.001,0.001,0.001,100079.5,0.001,0.001,58715.21,0.001,0.001,0.001,0.001
3140,20-Deoxynarasin,70022-35-4,C43 H72 O10,(M+NH4)+,748.5125,,0.229,,46.676,,277.32,,766.5493,,0.000062,4.12,1,2,1,94.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,305861.1,0.001
3141,Presqualene diphosphate,29849-75-0,C30 H52 O7 P2,(M+NH4)+,586.3188,,1.847,0.009,40.659,0.098,242.53,0.59,604.3526,0.0026,0.0000619,2.34,1,3,4,99.8,,FALSE,0.001,0.001,0.001,0.001,233780.5,0.001,0.001,0.001,180476.6,6861.247,98305.72,0.001,0.001,0.001,0.001,0.001,0.001
3142,Isopentyl beta-D-glucoside,,C11 H22 O6,(M+H)+,250.1416,,1.27,0.025,26.569,0.033,162.81,0.21,251.1512,0.0007,0.0000619,2.97,1,2,2,87.1,,FALSE,0.001,0.001,0.001,0.001,0.001,119242.8,0.001,0.001,0.001,0.001,0.001,193318.1,0.001,0.001,0.001,0.001,0.001
3143,Propicillan,551-27-9,C18 H22 N2 O5 S,(M+NH4)+,378.1249,,1,0.003,31.835,0.104,191.76,0.63,396.1573,0.0012,0.0000618,2.96,1,2,2,99,,FALSE,0.001,0.001,179070.1,138297.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3144,,,,,,,0.234,0.006,52.156,0.216,308.98,1.28,955.5833,0.0029,0.0000617,1.78,1,3,8,81.2,,FALSE,0.001,8068.829,0.001,0.001,0.001,0.001,2557.998,17748.18,0.001,44603.06,36433.86,119345.3,0.001,45264.07,0.001,42687.07,0.001
3145,,,,,,,2.392,0.058,56.328,0.59,333.02,3.5,1145.548,0.001,0.0000617,2.83,1,2,2,96.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,263932.3,0.001,0.001,0.001,0.001,0.001,317183
3146,,,,,,,0.877,0.003,41.643,0.029,249.14,0.17,535.475,0.0009,0.0000617,2.83,1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,155231.5,0.001,142330.8,0.001,0.001,0.001
3147,,,,,,,0.252,,30.083,,181.53,,371.2387,,0.0000616,4.12,1,3,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,610224.4
3148,,,,,,,0.224,,48.073,,285.49,,795.5533,,0.0000616,4.12,1,2,1,99.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,294406.7,0.001,0.001,0.001,0.001,0.001
3149,,,,,,,0.287,,39.505,,235.08,,671.1321,,0.0000616,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,294307.5,0.001,0.001,0.001,0.001,0.001
3150,Phaseolic acid,53755-04-7,C13 H12 O8,(M+NH4)+,296.0532,,2.331,0.007,27.014,0.005,163.88,0.03,314.087,0.0003,0.0000616,2.24,1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,153616.2,0.001,205303.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,188758.5
3151,,,,,,,0.819,0.019,53.281,0.082,315.3,0.49,1042.5016,0.0019,0.0000615,2.78,1,3,3,99.3,,FALSE,0.001,0.001,178609.3,0.001,118033.4,40172.61,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3152,3-Hydroxyquinine,78549-61-8,C20 H24 N2 O3,(M+H)+,340.1787,,2.735,0.001,30.169,0.057,182.61,0.35,341.184,0.0005,0.0000614,2.43,1,2,3,85.9,,FALSE,0.001,0.001,0.001,57432.26,0.001,149796,0.001,0.001,0.001,0.001,0.001,0.001,0.001,123790.7,0.001,0.001,0.001
3153,,,,,,,0.237,0.001,32.966,0.03,197.37,0.18,489.0604,0.0008,0.0000614,1.91,1,2,4,96.6,,FALSE,0.001,0.001,0.001,0.001,0.001,86724.38,0.001,0.001,0.001,68538.34,0.001,97823.98,0.001,58035.55,0.001,0.001,0.001
3154,N2-Fructopyranosylarginine,162966-07-6,C12 H24 N4 O7,(2M+NH4)+,336.1645,,2.521,0.001,41.053,0.162,244.21,0.97,690.3591,0.001,0.0000613,3.26,1,3,2,96.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,112896.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,468590.5
3155,,,,,,,2.313,0.005,35.092,0.184,208.14,1.1,764.4351,0.0003,0.0000612,2.82,1,3,2,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,313246,0.001,0.001,0.001,299148.1
3156,,,,,,,2.745,0.003,44.352,0.403,263.51,2.41,756.3391,0.0017,0.0000612,2.9,1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,324297.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,237353.9
3157,,,,,,,0.229,0.003,34.749,0.091,207.81,0.55,519.141,0.0011,0.0000611,2.11,1,3,7,97.2,,FALSE,0.001,27766.16,0.001,9232.123,248273.6,15125.84,0.001,27062.02,0.001,0.001,0.001,0.001,0.001,20747.8,0.001,39666,0.001
3158,,,,,,,2.271,0.013,35.757,0.206,211.97,1.23,794.4082,0.0009,0.000061,1.5,1,2,7,82.4,,FALSE,0.001,0.001,0.001,0.001,57990.48,13775.3,62934.49,94698.12,0.001,0.001,122885.7,0.001,0.001,0.001,28911.09,0.001,107145.3
3159,,,,,,,0.904,0.003,47.101,0.263,280.12,1.57,728.4707,0,0.0000607,2.87,1,2,2,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,123256.4,0.001,174612,0.001
3160,Calycanthidine,5516-85-8,C23 H28 N4,(M+NH4)+,360.2314,,0.235,,33.384,,201.48,,378.2669,,0.0000606,4.12,1,2,1,93.7,,FALSE,0.001,0.001,272101.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3161,Fasciculic acid B,126882-55-1,C36 H60 O9,(M+H)+,636.4237,,1.644,0.001,40.859,0.128,243.44,0.77,637.4297,0.0011,0.0000606,1.43,1,2,6,99.4,,FALSE,0.001,0.001,0.001,0.001,0.001,39604.2,0.001,0.001,78704.16,0.001,108754,0.001,100968,0.001,105306.2,0.001,101919.3
3162,,,,,,,2.67,0.015,37.095,0.092,219.68,0.55,857.4486,0.0029,0.0000605,2.26,1,2,4,88.9,,FALSE,0.001,0.001,0.001,0.001,149791.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,136539.5,0.001,14010.77,0.001,266456
3163,11alpha-Hydroxygalanthamine,,C17 H21 N O4,(M+Na)+,303.1471,,0.846,0.113,28.428,0.044,172.28,0.27,326.134,0.0008,0.0000605,2.32,1,2,3,99.2,,FALSE,0.001,0.001,0.001,0.001,189692.1,0.001,0.001,147130.3,0.001,0.001,0.001,0.001,127486.9,0.001,0.001,0.001,0.001
3164,DHAP(8:0),,C11 H21 O7 P,(M+NH4)+,296.1025,,1.43,0.004,28.401,0.041,172.38,0.25,314.1368,0.0003,0.0000604,1.54,1,2,6,99.7,,FALSE,0.001,0.001,0.001,0.001,48237.08,0.001,59082.53,0.001,109976.5,0.001,117725.7,0.001,154982.2,0.001,53262.47,0.001,0.001
3165,1-Tridecene,2437-56-1,C13 H26,(M+NH4)+,182.2035,,0.529,0.077,26.505,0.184,164.47,1.15,200.2384,0.0003,0.0000604,3.1,1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,349457.2,104103.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3166,,,,,,,0.391,0.005,45.743,0.076,272.69,0.46,640.5921,0.001,0.0000604,1.83,1,2,5,100,,FALSE,0.001,0.001,0.001,84749.81,0.001,0.001,0.001,128382.2,102278.5,0.001,0.001,0.001,0.001,0.001,0.001,16995.94,103612.9
3167,,,,,,,1.853,0.009,31.629,0.066,190.68,0.4,385.3175,0.0012,0.0000604,2.32,1,2,4,85.5,,FALSE,0.001,0.001,0.001,0.001,210063.7,0.001,65396.42,16257.11,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,234874.4
